iter	RMSE
352	444.9908068
353	444.8966986
354	444.7401591
355	444.5150569
356	444.3008596
357	444.0272897
358	443.9029229
359	443.769526
360	443.4710019
361	443.2897918
362	443.1572994
363	442.8699956
364	442.5973414
365	442.4280662
366	442.0435768
367	441.8070019
368	441.6368791
369	441.5144733
370	441.4407289
371	441.2750359
372	441.0795927
373	440.8088992
374	440.712407
375	440.5152022
376	440.4275588
377	440.3285141
378	440.0168673
379	439.7130586
380	439.4573798
381	439.4528975
382	439.2432137
383	439.0826333
384	438.8860818
385	438.7320678
386	438.4223882
387	438.2646874
388	438.260439
389	438.1145063
390	437.891772
391	437.6208312
392	437.4764889
393	437.2523689
394	437.1700099
395	437.036142
396	436.8986063
397	436.8210994
398	436.5849978
399	436.4433449
400	436.1076639
401	435.8643199
402	435.7307088
403	435.49575
404	435.4107589
405	435.2231084
406	434.9900771
407	434.8980634
408	434.6939365
409	434.5273782
410	434.2710966
411	434.0778662
412	433.846322
413	433.6395491
414	433.4517552
415	433.4060928
416	433.3027357
417	432.9523483
418	432.753444
419	432.5564397
420	432.119457
421	431.8202842
422	431.6498658
423	431.5796631
424	431.4541077
425	431.2793935
426	431.0067785
427	430.8030233
428	430.644065
429	430.5574165
430	430.3856678
431	430.3023916
432	430.1049549
433	429.8473173
434	429.6706423
435	429.2462363
436	429.1614821
437	429.1085066
438	429.0023083
439	428.8224204
440	428.6589175
441	428.524902
442	428.4355514
443	428.3157865
444	428.1327985
445	428.0179632
446	427.9044879
447	427.7893417
448	427.6172481
449	427.4298233
450	427.3603459
451	427.2441925
452	427.1452892
453	427.0702147
454	426.8657094
455	426.7026054
456	426.6545633
457	426.541166
458	426.4685256
459	426.1713384
460	425.8360893
461	425.5835522
462	425.5138215
463	425.4162542
464	425.3107731
465	425.0878381
466	424.9265093
467	424.8126595
468	424.6455919
469	424.4662292
470	424.3134638
471	424.2013482
472	424.1194731
473	424.025322
474	423.8248817
475	423.7093144
476	423.6501817
477	423.5130341
478	423.3837174
479	423.0763686
480	422.9643917
481	422.8748792
482	422.6403217
483	422.4714294
484	422.3557742
485	422.2675722
486	422.1691663
487	422.05072
488	421.9236515
489	421.7053069
490	421.5250498
491	421.4236002
492	421.2445611
493	421.2060159
494	421.1064379
495	421.0197921
496	420.9014953
497	420.7723887
498	420.7030954
499	420.5889796
